,precision,recall,f1-score,support
B-LOC,0.9793246037215714,0.9854368932038835,0.982371240926374,1442.0
B-MISC,0.9367977528089888,0.9341736694677871,0.9354838709677419,714.0
B-ORG,0.9564183835182251,0.960222752585521,0.9583167923779278,1257.0
B-PER,0.9847272727272727,0.981159420289855,0.9829401088929219,1380.0
I-LOC,0.9191489361702128,0.9773755656108597,0.9473684210526315,221.0
I-MISC,0.9233716475095786,0.9128787878787878,0.9180952380952381,264.0
I-ORG,0.9502923976608187,0.948905109489051,0.9495982468955442,685.0
I-PER,0.9884088514225501,0.9904963041182682,0.989451476793249,947.0
O,0.9981950509461427,0.9976432249992726,0.9979190616859966,34369.0
accuracy,0.9928050582620703,0.9928050582620703,0.9928050582620703,0.9928050582620703
macro avg,0.9596316551650401,0.9653657475159206,0.9623938286319584,41279.0
weighted avg,0.9928303115147439,0.9928050582620703,0.9928120234070721,41279.0
